,Date,Team,Current,Last 3,Last 1,Home,Away,Previous
62,2007-04-03,Cincinnati,1.000,1.000,1.000,1.000,--,1.000
63,2007-04-03,Miami,1.000,1.000,1.000,--,1.000,--
64,2007-04-03,Toronto,1.000,1.000,1.000,--,1.000,0.000
65,2007-04-03,LA Angels,1.000,1.000,1.000,1.000,--,--
66,2007-04-03,Milwaukee,1.000,1.000,1.000,1.000,--,--
67,2007-04-03,Arizona,1.000,1.000,1.000,--,1.000,--
68,2007-04-03,Pittsburgh,1.000,1.000,1.000,--,1.000,--
69,2007-04-03,NY Yankees,1.000,1.000,1.000,1.000,--,--
70,2007-04-03,Kansas City,1.000,1.000,1.000,1.000,--,--
71,2007-04-03,Atlanta,1.000,1.000,1.000,--,1.000,1.000
72,2007-04-03,Seattle,1.000,1.000,1.000,1.000,--,--
73,2007-04-03,Minnesota,1.000,1.000,1.000,1.000,--,1.000
74,2007-04-03,Boston,0.000,0.000,0.000,--,0.000,--
75,2007-04-03,Oakland,0.000,0.000,0.000,--,0.000,--
76,2007-04-03,Colorado,0.000,0.000,0.000,0.000,--,--
77,2007-04-03,Chi Sox,0.000,0.000,0.000,0.000,--,--
78,2007-04-03,Chi Cubs,0.000,0.000,0.000,--,0.000,1.000
79,2007-04-03,Philadelphia,0.000,0.000,0.000,0.000,--,0.000
80,2007-04-03,Baltimore,0.000,0.000,0.000,--,0.000,--
81,2007-04-03,Detroit,0.000,0.000,0.000,0.000,--,--
82,2007-04-03,Washington,0.000,0.000,0.000,0.000,--,--
83,2007-04-03,Texas,0.000,0.000,0.000,--,0.000,--
84,2007-04-03,LA Dodgers,0.000,0.000,0.000,--,0.000,--
85,2007-04-03,Houston,0.000,0.000,0.000,0.000,--,--
86,2007-04-03,Tampa Bay,0.000,0.000,0.000,--,0.000,--
87,2007-04-03,St. Louis,0.000,0.000,0.000,0.000,--,0.000
88,2007-04-03,SF Giants,--,--,--,--,--,--
89,2007-04-03,San Diego,--,--,--,--,--,0.000
90,2007-04-04,LA Angels,1.000,1.000,1.000,1.000,--,--
91,2007-04-04,Milwaukee,1.000,1.000,1.000,1.000,--,--
92,2007-04-04,Pittsburgh,1.000,1.000,1.000,--,1.000,--
93,2007-04-04,NY Yankees,1.000,1.000,1.000,1.000,--,--
94,2007-04-04,Kansas City,1.000,1.000,1.000,1.000,--,--
95,2007-04-04,Atlanta,1.000,1.000,1.000,--,1.000,1.000
96,2007-04-04,Seattle,1.000,1.000,1.000,1.000,--,--
97,2007-04-04,Minnesota,1.000,1.000,1.000,1.000,--,1.000
98,2007-04-04,San Diego,1.000,1.000,1.000,--,1.000,0.000
99,2007-04-04,NY Mets,1.000,1.000,1.000,--,1.000,--
100,2007-04-04,Cleveland,1.000,1.000,1.000,--,1.000,--
101,2007-04-04,Cincinnati,1.000,1.000,1.000,1.000,--,1.000
102,2007-04-04,Miami,1.000,1.000,1.000,--,1.000,--
103,2007-04-04,Toronto,1.000,1.000,1.000,--,1.000,0.000
104,2007-04-04,Arizona,0.500,0.500,0.000,--,0.500,--
105,2007-04-04,Colorado,0.500,0.500,1.000,0.500,--,--
106,2007-04-04,Chi Sox,0.000,0.000,0.000,0.000,--,--
107,2007-04-04,SF Giants,0.000,0.000,0.000,0.000,--,--
108,2007-04-04,Chi Cubs,0.000,0.000,0.000,--,0.000,1.000
109,2007-04-04,Philadelphia,0.000,0.000,0.000,0.000,--,0.000
110,2007-04-04,Baltimore,0.000,0.000,0.000,--,0.000,--
111,2007-04-04,Detroit,0.000,0.000,0.000,0.000,--,--
112,2007-04-04,Washington,0.000,0.000,0.000,0.000,--,--
113,2007-04-04,Texas,0.000,0.000,0.000,--,0.000,--
114,2007-04-04,LA Dodgers,0.000,0.000,0.000,--,0.000,--
115,2007-04-04,Houston,0.000,0.000,0.000,0.000,--,--
116,2007-04-04,Tampa Bay,0.000,0.000,0.000,--,0.000,--
117,2007-04-04,St. Louis,0.000,0.000,0.000,0.000,--,0.000
118,2007-04-04,Boston,0.000,0.000,0.000,--,0.000,--
119,2007-04-04,Oakland,0.000,0.000,0.000,--,0.000,--
120,2007-04-05,LA Angels,1.000,1.000,1.000,1.000,--,--
121,2007-04-05,Pittsburgh,1.000,1.000,1.000,--,1.000,--
122,2007-04-05,NY Yankees,1.000,1.000,1.000,1.000,--,--
123,2007-04-05,Kansas City,1.000,1.000,1.000,1.000,--,--
124,2007-04-05,Atlanta,1.000,1.000,1.000,--,1.000,1.000
125,2007-04-05,Seattle,1.000,1.000,1.000,1.000,--,--
126,2007-04-05,Minnesota,1.000,1.000,1.000,1.000,--,1.000
127,2007-04-05,San Diego,1.000,1.000,1.000,--,1.000,0.000
128,2007-04-05,NY Mets,1.000,1.000,1.000,--,1.000,--
129,2007-04-05,Cleveland,1.000,1.000,1.000,--,1.000,--
130,2007-04-05,Milwaukee,0.667,0.667,0.000,0.667,--,--
131,2007-04-05,Colorado,0.667,0.667,1.000,0.667,--,--
132,2007-04-05,Miami,0.667,0.667,0.000,--,0.667,--
133,2007-04-05,Chi Cubs,0.500,0.500,1.000,--,0.500,1.000
134,2007-04-05,Detroit,0.500,0.500,1.000,0.500,--,--
135,2007-04-05,Cincinnati,0.500,0.500,0.000,0.500,--,1.000
136,2007-04-05,Toronto,0.500,0.500,0.000,--,0.500,0.000
137,2007-04-05,Arizona,0.333,0.333,0.000,--,0.333,--
138,2007-04-05,Washington,0.333,0.333,1.000,0.333,--,--
139,2007-04-05,LA Dodgers,0.333,0.333,1.000,--,0.333,--
140,2007-04-05,Chi Sox,0.000,0.000,0.000,0.000,--,--
141,2007-04-05,SF Giants,0.000,0.000,0.000,0.000,--,--
142,2007-04-05,Philadelphia,0.000,0.000,0.000,0.000,--,0.000
143,2007-04-05,Baltimore,0.000,0.000,0.000,--,0.000,--
144,2007-04-05,Texas,0.000,0.000,0.000,--,0.000,--
145,2007-04-05,Houston,0.000,0.000,0.000,0.000,--,--
146,2007-04-05,Tampa Bay,0.000,0.000,0.000,--,0.000,--
147,2007-04-05,St. Louis,0.000,0.000,0.000,0.000,--,0.000
148,2007-04-05,Boston,0.000,0.000,0.000,--,0.000,--
149,2007-04-05,Oakland,0.000,0.000,0.000,--,0.000,--
150,2007-04-06,NY Mets,1.000,1.000,1.000,--,1.000,--
151,2007-04-06,Pittsburgh,1.000,1.000,1.000,--,1.000,--
152,2007-04-06,NY Yankees,1.000,1.000,1.000,1.000,--,--
153,2007-04-06,Kansas City,1.000,1.000,1.000,1.000,--,--
154,2007-04-06,Atlanta,1.000,1.000,1.000,--,1.000,1.000
155,2007-04-06,Seattle,1.000,1.000,1.000,1.000,--,--
156,2007-04-06,Minnesota,1.000,1.000,1.000,1.000,--,1.000
157,2007-04-06,LA Angels,0.750,0.667,0.000,0.750,--,--
158,2007-04-06,Cleveland,0.667,0.667,0.000,--,0.667,--
159,2007-04-06,Colorado,0.667,0.667,1.000,0.667,--,--
160,2007-04-06,Miami,0.667,0.667,0.000,--,0.667,--
161,2007-04-06,Milwaukee,0.667,0.667,0.000,0.667,--,--
162,2007-04-06,Cincinnati,0.500,0.500,0.000,0.500,--,1.000
163,2007-04-06,Toronto,0.500,0.500,0.000,--,0.500,0.000
164,2007-04-06,SF Giants,0.500,0.500,1.000,0.500,--,--
165,2007-04-06,Chi Cubs,0.500,0.500,1.000,--,0.500,1.000
166,2007-04-06,Detroit,0.500,0.500,1.000,0.500,--,--
167,2007-04-06,Arizona,0.500,0.333,1.000,--,0.500,--
168,2007-04-06,San Diego,0.500,0.500,0.000,--,0.500,0.000
169,2007-04-06,Oakland,0.333,0.333,1.000,--,0.333,--
170,2007-04-06,Chi Sox,0.333,0.333,1.000,0.333,--,--
171,2007-04-06,LA Dodgers,0.333,0.333,1.000,--,0.333,--
172,2007-04-06,Washington,0.250,0.333,0.000,0.250,--,--
173,2007-04-06,Boston,0.000,0.000,0.000,--,0.000,--
174,2007-04-06,Philadelphia,0.000,0.000,0.000,0.000,--,0.000
175,2007-04-06,Baltimore,0.000,0.000,0.000,--,0.000,--
176,2007-04-06,Texas,0.000,0.000,0.000,--,0.000,--
177,2007-04-06,Houston,0.000,0.000,0.000,0.000,--,--
178,2007-04-06,Tampa Bay,0.000,0.000,0.000,--,0.000,--
179,2007-04-06,St. Louis,0.000,0.000,0.000,0.000,--,0.000
180,2007-04-07,NY Yankees,1.000,1.000,1.000,1.000,--,--
181,2007-04-07,Kansas City,1.000,1.000,1.000,1.000,--,--
182,2007-04-07,Seattle,1.000,1.000,1.000,1.000,--,--
183,2007-04-07,Minnesota,1.000,1.000,1.000,1.000,--,1.000
184,2007-04-07,NY Mets,1.000,1.000,1.000,--,1.000,--
185,2007-04-07,LA Angels,0.800,0.667,1.000,0.800,--,--
186,2007-04-07,Atlanta,0.750,0.667,0.000,0.000,1.000,1.000
187,2007-04-07,Milwaukee,0.667,0.667,0.000,0.667,--,--
188,2007-04-07,Pittsburgh,0.667,0.667,0.000,--,0.667,--
189,2007-04-07,Cleveland,0.667,0.667,0.000,--,0.667,--
190,2007-04-07,Colorado,0.667,0.667,1.000,0.667,--,--
191,2007-04-07,Cincinnati,0.667,0.667,1.000,0.667,--,1.000
192,2007-04-07,Arizona,0.600,0.667,1.000,--,0.600,--
193,2007-04-07,Chi Cubs,0.500,0.500,1.000,--,0.500,1.000
194,2007-04-07,LA Dodgers,0.500,0.667,1.000,--,0.500,--
195,2007-04-07,San Diego,0.500,0.500,0.000,--,0.500,0.000
196,2007-04-07,Miami,0.500,0.333,0.000,0.000,0.667,--
197,2007-04-07,Toronto,0.500,0.500,0.000,--,0.500,0.000
198,2007-04-07,Chi Sox,0.333,0.333,1.000,0.333,--,--
199,2007-04-07,SF Giants,0.333,0.333,0.000,0.333,--,--
200,2007-04-07,Detroit,0.333,0.333,0.000,0.500,0.000,--
201,2007-04-07,St. Louis,0.333,0.333,1.000,0.000,1.000,0.000
202,2007-04-07,Philadelphia,0.250,0.333,1.000,0.000,1.000,0.000
203,2007-04-07,Oakland,0.250,0.333,0.000,--,0.250,--
204,2007-04-07,Washington,0.200,0.333,0.000,0.200,--,--
205,2007-04-07,Baltimore,0.000,0.000,0.000,--,0.000,--
206,2007-04-07,Texas,0.000,0.000,0.000,--,0.000,--
207,2007-04-07,Houston,0.000,0.000,0.000,0.000,--,--
208,2007-04-07,Tampa Bay,0.000,0.000,0.000,--,0.000,--
209,2007-04-07,Boston,0.000,0.000,0.000,--,0.000,--
210,2007-04-08,Seattle,1.000,1.000,1.000,1.000,--,--
211,2007-04-08,Minnesota,1.000,1.000,1.000,1.000,--,1.000
212,2007-04-08,NY Yankees,1.000,1.000,1.000,1.000,--,--
213,2007-04-08,Kansas City,1.000,1.000,1.000,1.000,--,--
214,2007-04-08,Atlanta,0.800,0.667,1.000,0.500,1.000,1.000
215,2007-04-08,LA Angels,0.800,0.667,1.000,0.800,--,--
216,2007-04-08,NY Mets,0.750,0.667,0.000,--,0.750,--
217,2007-04-08,Cincinnati,0.750,0.667,1.000,0.750,--,1.000
218,2007-04-08,San Diego,0.667,0.667,1.000,1.000,0.500,0.000
219,2007-04-08,Cleveland,0.667,0.667,0.000,--,0.667,--
220,2007-04-08,Chi Cubs,0.667,0.667,1.000,--,0.667,1.000
221,2007-04-08,Miami,0.600,0.333,1.000,0.500,0.667,--
222,2007-04-08,Arizona,0.600,0.667,1.000,--,0.600,--
223,2007-04-08,LA Dodgers,0.600,1.000,1.000,--,0.600,--
224,2007-04-08,Colorado,0.500,0.667,0.000,0.667,0.000,--
225,2007-04-08,Toronto,0.500,0.500,0.000,--,0.500,0.000
226,2007-04-08,Milwaukee,0.500,0.333,0.000,0.500,--,--
227,2007-04-08,Pittsburgh,0.500,0.333,0.000,--,0.500,--
228,2007-04-08,Chi Sox,0.333,0.333,1.000,0.333,--,--
229,2007-04-08,Detroit,0.333,0.333,0.000,0.500,0.000,--
230,2007-04-08,Houston,0.250,0.333,1.000,0.250,--,--
231,2007-04-08,St. Louis,0.250,0.333,0.000,0.000,0.500,0.000
232,2007-04-08,Oakland,0.250,0.333,0.000,--,0.250,--
233,2007-04-08,SF Giants,0.250,0.333,0.000,0.250,--,--
234,2007-04-08,Texas,0.250,0.333,1.000,1.000,0.000,--
235,2007-04-08,Philadelphia,0.200,0.333,0.000,0.000,0.500,0.000
236,2007-04-08,Washington,0.200,0.333,0.000,0.200,--,--
237,2007-04-08,Tampa Bay,0.000,0.000,0.000,--,0.000,--
238,2007-04-08,Boston,0.000,0.000,0.000,--,0.000,--
239,2007-04-08,Baltimore,0.000,0.000,0.000,--,0.000,--
240,2007-04-09,NY Yankees,1.000,1.000,1.000,1.000,--,--
241,2007-04-09,Kansas City,1.000,1.000,1.000,1.000,--,--
242,2007-04-09,Seattle,1.000,1.000,1.000,1.000,--,--
243,2007-04-09,Minnesota,1.000,1.000,1.000,1.000,--,1.000
244,2007-04-09,LA Angels,0.800,0.667,1.000,0.800,--,--
245,2007-04-09,Atlanta,0.800,0.667,1.000,0.500,1.000,1.000
246,2007-04-09,San Diego,0.750,0.667,1.000,1.000,0.500,0.000
247,2007-04-09,NY Mets,0.750,0.667,0.000,--,0.750,--
248,2007-04-09,Cleveland,0.667,0.667,0.000,--,0.667,--
249,2007-04-09,Miami,0.667,0.667,1.000,0.667,0.667,--
250,2007-04-09,Toronto,0.667,0.667,1.000,--,0.667,0.000
251,2007-04-09,Milwaukee,0.600,0.333,1.000,0.600,--,--
252,2007-04-09,Arizona,0.600,0.667,1.000,--,0.600,--
253,2007-04-09,Pittsburgh,0.600,0.333,1.000,--,0.600,--
254,2007-04-09,LA Dodgers,0.600,1.000,1.000,--,0.600,--
255,2007-04-09,Cincinnati,0.600,0.667,0.000,0.600,--,1.000
256,2007-04-09,Chi Cubs,0.500,0.667,0.000,--,0.500,1.000
257,2007-04-09,Colorado,0.400,0.333,0.000,0.667,0.000,--
258,2007-04-09,Chi Sox,0.333,0.333,1.000,0.333,--,--
259,2007-04-09,Detroit,0.333,0.333,0.000,0.500,0.000,--
260,2007-04-09,SF Giants,0.250,0.333,0.000,0.250,--,--
261,2007-04-09,Texas,0.250,0.333,1.000,1.000,0.000,--
262,2007-04-09,Houston,0.250,0.333,1.000,0.250,--,--
263,2007-04-09,St. Louis,0.250,0.333,0.000,0.000,0.500,0.000
264,2007-04-09,Oakland,0.250,0.333,0.000,--,0.250,--
265,2007-04-09,Washington,0.200,0.333,0.000,0.200,--,--
266,2007-04-09,Philadelphia,0.167,0.333,0.000,0.000,0.333,0.000
267,2007-04-09,Baltimore,0.000,0.000,0.000,--,0.000,--
268,2007-04-09,Tampa Bay,0.000,0.000,0.000,0.000,0.000,--
269,2007-04-09,Boston,0.000,0.000,0.000,--,0.000,--
270,2007-04-11,NY Yankees,1.000,1.000,1.000,1.000,--,--
271,2007-04-11,Kansas City,1.000,1.000,1.000,1.000,--,--
272,2007-04-11,Seattle,1.000,1.000,1.000,1.000,--,--
273,2007-04-11,Minnesota,1.000,1.000,1.000,1.000,--,1.000
274,2007-04-11,LA Angels,0.800,0.667,1.000,0.800,--,--
275,2007-04-11,Atlanta,0.800,0.667,1.000,0.500,1.000,1.000
276,2007-04-11,NY Mets,0.800,0.667,1.000,1.000,0.750,--
277,2007-04-11,San Diego,0.750,0.667,1.000,1.000,0.500,0.000
278,2007-04-11,Cleveland,0.667,0.667,0.000,--,0.667,--
279,2007-04-11,Miami,0.667,0.667,1.000,0.667,0.667,--
280,2007-04-11,Toronto,0.667,0.667,1.000,--,0.667,0.000
281,2007-04-11,Milwaukee,0.600,0.333,1.000,0.600,--,--
282,2007-04-11,Arizona,0.600,0.667,1.000,--,0.600,--
283,2007-04-11,Pittsburgh,0.600,0.333,1.000,--,0.600,--
284,2007-04-11,LA Dodgers,0.600,1.000,1.000,--,0.600,--
285,2007-04-11,Cincinnati,0.600,0.667,0.000,0.600,--,1.000
286,2007-04-11,Chi Cubs,0.400,0.333,0.000,0.000,0.500,1.000
287,2007-04-11,Houston,0.400,0.667,1.000,0.250,1.000,--
288,2007-04-11,Colorado,0.400,0.333,0.000,0.667,0.000,--
289,2007-04-11,Chi Sox,0.333,0.333,1.000,0.333,--,--
290,2007-04-11,Detroit,0.333,0.333,0.000,0.500,0.000,--
291,2007-04-11,SF Giants,0.250,0.333,0.000,0.250,--,--
292,2007-04-11,Texas,0.250,0.333,1.000,1.000,0.000,--
293,2007-04-11,St. Louis,0.250,0.333,0.000,0.000,0.500,0.000
294,2007-04-11,Oakland,0.250,0.333,0.000,--,0.250,--
295,2007-04-11,Washington,0.200,0.333,0.000,0.200,--,--
296,2007-04-11,Philadelphia,0.143,0.000,0.000,0.000,0.250,0.000
297,2007-04-11,Baltimore,0.000,0.000,0.000,--,0.000,--
298,2007-04-11,Tampa Bay,0.000,0.000,0.000,0.000,0.000,--
299,2007-04-11,Boston,0.000,0.000,0.000,--,0.000,--
300,2007-04-13,NY Yankees,1.000,1.000,1.000,1.000,--,--
301,2007-04-13,Kansas City,1.000,1.000,1.000,1.000,--,--
302,2007-04-13,Seattle,1.000,1.000,1.000,1.000,--,--
303,2007-04-13,Minnesota,1.000,1.000,1.000,1.000,--,1.000
304,2007-04-13,Atlanta,0.800,0.667,1.000,0.500,1.000,1.000
305,2007-04-13,LA Angels,0.800,0.667,1.000,0.800,--,--
306,2007-04-13,San Diego,0.750,0.667,1.000,1.000,0.500,0.000
307,2007-04-13,NY Mets,0.667,0.333,0.000,0.500,0.750,--
308,2007-04-13,Cleveland,0.667,0.667,0.000,--,0.667,--
309,2007-04-13,Miami,0.667,0.667,1.000,0.667,0.667,--
310,2007-04-13,Toronto,0.667,0.667,1.000,--,0.667,0.000
311,2007-04-13,Arizona,0.600,0.667,1.000,--,0.600,--
312,2007-04-13,Pittsburgh,0.600,0.333,1.000,--,0.600,--
313,2007-04-13,LA Dodgers,0.600,1.000,1.000,--,0.600,--
314,2007-04-13,Cincinnati,0.600,0.667,0.000,0.600,--,1.000
315,2007-04-13,Milwaukee,0.600,0.333,1.000,0.600,--,--
316,2007-04-13,Houston,0.400,0.667,1.000,0.250,1.000,--
317,2007-04-13,Colorado,0.400,0.333,0.000,0.667,0.000,--
318,2007-04-13,Chi Cubs,0.400,0.333,0.000,0.000,0.500,1.000
319,2007-04-13,Chi Sox,0.333,0.333,1.000,0.333,--,--
320,2007-04-13,Detroit,0.333,0.333,0.000,0.500,0.000,--
321,2007-04-13,Texas,0.250,0.333,1.000,1.000,0.000,--
322,2007-04-13,St. Louis,0.250,0.333,0.000,0.000,0.500,0.000
323,2007-04-13,Oakland,0.250,0.333,0.000,--,0.250,--
324,2007-04-13,SF Giants,0.250,0.333,0.000,0.250,--,--
325,2007-04-13,Philadelphia,0.250,0.333,1.000,0.000,0.400,0.000
326,2007-04-13,Washington,0.200,0.333,0.000,0.200,--,--
327,2007-04-13,Tampa Bay,0.000,0.000,0.000,0.000,0.000,--
328,2007-04-13,Boston,0.000,0.000,0.000,--,0.000,--
329,2007-04-13,Baltimore,0.000,0.000,0.000,--,0.000,--
330,2007-04-18,Kansas City,1.000,1.000,1.000,1.000,--,--
331,2007-04-18,Seattle,1.000,1.000,1.000,1.000,--,--
332,2007-04-18,Minnesota,1.000,1.000,1.000,1.000,--,1.000
333,2007-04-18,LA Angels,0.800,0.667,1.000,0.800,--,--
334,2007-04-18,Atlanta,0.800,0.667,1.000,0.500,1.000,1.000
335,2007-04-18,San Diego,0.750,0.667,1.000,1.000,0.500,0.000
336,2007-04-18,NY Mets,0.667,0.333,0.000,0.500,0.750,--
337,2007-04-18,Cleveland,0.667,0.667,0.000,--,0.667,--
338,2007-04-18,Miami,0.667,0.667,1.000,0.667,0.667,--
339,2007-04-18,Toronto,0.667,0.667,1.000,--,0.667,0.000
340,2007-04-18,Cincinnati,0.600,0.667,0.000,0.600,--,1.000
341,2007-04-18,Milwaukee,0.600,0.333,1.000,0.600,--,--
342,2007-04-18,Arizona,0.600,0.667,1.000,--,0.600,--
343,2007-04-18,Pittsburgh,0.600,0.333,1.000,--,0.600,--
344,2007-04-18,LA Dodgers,0.600,1.000,1.000,--,0.600,--
345,2007-04-18,NY Yankees,0.500,0.500,0.000,1.000,0.000,--
346,2007-04-18,Oakland,0.400,0.667,1.000,1.000,0.250,--
347,2007-04-18,Colorado,0.400,0.333,0.000,0.667,0.000,--
348,2007-04-18,Chi Cubs,0.400,0.333,0.000,0.000,0.500,1.000
349,2007-04-18,Houston,0.400,0.667,1.000,0.250,1.000,--
350,2007-04-18,Chi Sox,0.333,0.333,1.000,0.333,--,--
351,2007-04-18,Detroit,0.333,0.333,0.000,0.500,0.000,--
352,2007-04-18,SF Giants,0.250,0.333,0.000,0.250,--,--
353,2007-04-18,Philadelphia,0.250,0.333,1.000,0.000,0.400,0.000
354,2007-04-18,Texas,0.250,0.333,1.000,1.000,0.000,--
355,2007-04-18,St. Louis,0.250,0.333,0.000,0.000,0.500,0.000
356,2007-04-18,Washington,0.200,0.333,0.000,0.200,--,--
357,2007-04-18,Boston,0.000,0.000,0.000,--,0.000,--
358,2007-04-18,Baltimore,0.000,0.000,0.000,--,0.000,--
359,2007-04-18,Tampa Bay,0.000,0.000,0.000,0.000,0.000,--
360,2007-04-19,Kansas City,1.000,1.000,1.000,1.000,--,--
361,2007-04-19,Minnesota,1.000,1.000,1.000,1.000,1.000,1.000
362,2007-04-19,Atlanta,0.800,0.667,1.000,0.500,1.000,1.000
363,2007-04-19,LA Angels,0.800,0.667,1.000,0.800,--,--
364,2007-04-19,Arizona,0.667,1.000,1.000,--,0.667,--
365,2007-04-19,Seattle,0.667,0.667,0.000,0.667,--,--
366,2007-04-19,NY Mets,0.667,0.333,0.000,0.500,0.750,--
367,2007-04-19,Cleveland,0.667,0.667,0.000,--,0.667,--
368,2007-04-19,Miami,0.667,0.667,1.000,0.667,0.667,--
369,2007-04-19,Toronto,0.667,0.667,1.000,--,0.667,0.000
370,2007-04-19,Pittsburgh,0.600,0.333,1.000,--,0.600,--
371,2007-04-19,LA Dodgers,0.600,1.000,1.000,--,0.600,--
372,2007-04-19,San Diego,0.600,0.667,0.000,0.667,0.500,0.000
373,2007-04-19,Cincinnati,0.600,0.667,0.000,0.600,--,1.000
374,2007-04-19,Milwaukee,0.600,0.333,1.000,0.600,--,--
375,2007-04-19,NY Yankees,0.500,0.500,0.000,1.000,0.000,--
376,2007-04-19,Houston,0.400,0.667,1.000,0.250,1.000,--
377,2007-04-19,Oakland,0.400,0.667,1.000,1.000,0.250,--
378,2007-04-19,Colorado,0.400,0.333,0.000,0.667,0.000,--
379,2007-04-19,SF Giants,0.400,0.333,1.000,0.400,--,--
380,2007-04-19,Chi Cubs,0.400,0.333,0.000,0.000,0.500,1.000
381,2007-04-19,Chi Sox,0.333,0.333,1.000,0.333,--,--
382,2007-04-19,Detroit,0.333,0.333,0.000,0.500,0.000,--
383,2007-04-19,Texas,0.250,0.333,1.000,1.000,0.000,--
384,2007-04-19,Philadelphia,0.250,0.333,1.000,0.000,0.400,0.000
385,2007-04-19,Washington,0.200,0.333,0.000,0.200,--,--
386,2007-04-19,St. Louis,0.200,0.333,0.000,0.000,0.333,0.000
387,2007-04-19,Tampa Bay,0.000,0.000,0.000,0.000,0.000,--
388,2007-04-19,Boston,0.000,0.000,0.000,--,0.000,--
389,2007-04-19,Baltimore,0.000,0.000,0.000,--,0.000,--
390,2007-04-20,Kansas City,1.000,1.000,1.000,1.000,--,--
391,2007-04-20,Minnesota,1.000,1.000,1.000,1.000,1.000,1.000
392,2007-04-20,LA Angels,0.800,0.667,1.000,0.800,--,--
393,2007-04-20,NY Mets,0.714,0.667,1.000,0.500,0.800,--
394,2007-04-20,NY Yankees,0.667,0.667,1.000,1.000,0.000,--
395,2007-04-20,LA Dodgers,0.667,1.000,1.000,--,0.667,--
396,2007-04-20,Atlanta,0.667,0.333,0.000,0.333,1.000,1.000
397,2007-04-20,San Diego,0.667,0.667,1.000,0.750,0.500,0.000
398,2007-04-20,Milwaukee,0.667,0.667,1.000,0.667,--,--
399,2007-04-20,Arizona,0.571,0.667,0.000,--,0.571,--
400,2007-04-20,Miami,0.571,0.667,0.000,0.500,0.667,--
401,2007-04-20,Pittsburgh,0.500,0.333,0.000,--,0.500,--
